"ID","EC_2","EC_3","EC_4","EC_5","ES_2","ES_3","ES_4","ES_5","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foldChange","log10padj"
"WBGene00000009",0,0,0,1.73837078528657,29.2795304300148,9.43450748860602,30.0697273444254,5.42654639781983,9.49358530576909,5.22030484256544,1.42567076271683,14.2396042514252,0.000160947390021764,0.00167007949894882,37.2793510902194,2.77726285512007
"WBGene00000103",155.795878587948,203.253440793748,271.921495976817,197.305084130026,549.699571298988,811.367644020117,479.236279551781,656.612114136199,415.648938561953,1.59006446087441,0.2299218477809,45.9986522634045,1.18334367505294e-11,6.81821110225955e-10,3.0106280093058,9.16632955647657
"WBGene00000169",382.948648132207,315.926543842456,187.192334186939,304.21488742515,3773.28142154546,1351.23112809035,1200.90973581799,488.389175803784,1000.51173435554,2.51736475091329,0.613712296621414,15.0659672176245,0.000103818278890395,0.00114864245494141,5.72535341570901,2.93981513581209
"WBGene00000214",14864.8296677157,8398.56473018948,6237.44561967112,10927.3987563114,16577.8812292781,28389.4813118254,23145.232944392,21583.1838729287,16265.502266539,1.14971038478457,0.243866042799938,21.6639358324988,3.24841396175724e-06,5.63141348184283e-05,2.21869350564722,4.24938258377779
"WBGene00000216",6753.92972901492,3901.58235262781,4048.28053249544,5508.02783318051,12814.9893185304,11241.739811979,15221.8597891359,9042.4351475671,8566.60556431638,1.25750581578571,0.204314147426571,36.7500644181622,1.34286180587367e-09,5.17704265549106e-08,2.39082049589419,7.2859182566971
"WBGene00000218",3391.83088345669,1891.140709994,2463.05702877552,3094.2999978101,8774.41411918832,7862.08957383835,9850.65474223787,6716.25559170167,5505.46783087532,1.61491649138825,0.18696621147862,71.0797931129298,3.43065763948256e-17,3.910702899108e-15,3.06293869465285,14.4077451766787
"WBGene00000219",4901.02912718269,3329.3797312628,3407.88570501381,5120.3711480616,34680.1870428802,15599.4339931051,28810.5575118776,11932.9755288058,13472.7274735237,2.44131871906146,0.378366683759446,37.455578892724,9.35188140858898e-10,3.74193335654274e-08,5.43137968314654,7.42690395150824
"WBGene00000220",22.5963488028321,11.0463826518341,45.3202493294695,33.0290449204449,454.304972156037,22.0138508067474,306.335347321334,43.4123711825586,117.257320896407,2.88040043447463,0.808473198809665,11.1469716083266,0.000841689671041734,0.00669170739470962,7.36354474706253,2.17446305749465
"WBGene00000224",396.030744807531,450.692412194832,463.054721409797,321.598595278016,946.389983576609,847.009116754851,851.349155439045,705.451031716578,622.696970147157,1.03914950364692,0.158724321229644,42.1514959797097,8.44693037296068e-11,4.24894005585911e-09,2.05501582496847,8.37171939590348
"WBGene00000237",196.231450129858,203.253440793748,228.571692270368,189.482415596237,398.579414240847,553.49110599822,359.897049153592,413.321950633944,317.853564852102,1.07659432313879,0.180456094293697,35.0652411803157,3.18841594487836e-09,1.11278525653299e-07,2.10905149859959,6.95358863701384
"WBGene00000272",0,0,0,0.869185392643287,19.834520613881,4.19311443938045,50.7426648937179,0.904424399636638,9.56798871740742,5.92112373269667,1.69612456670666,10.6129414983529,0.00112298901213471,0.00844106304424788,60.5948690934195,2.0736028560783
"WBGene00000705",0,0,0,0,29.2795304300148,3.14483582953534,26.3110114263723,2.71327319890991,7.68108136060405,6.34219757073802,1.6895871589523,12.3281056136422,0.000446188986081768,0.00394964496338861,81.1319113077347,2.40344194168269
"WBGene00000781",1612.66573561265,1381.90246974445,968.474023714534,1740.9783414645,10182.6650827739,7518.25418980915,8249.44176114722,3853.75236685171,4438.51674638976,2.38543674088935,0.267623415638311,71.8810780421364,2.28565215298311e-17,2.70269838537443e-15,5.2250206570819,14.5682024178145
"WBGene00000783",111.792462498222,92.7896142754065,131.034633930858,118.209213399487,455.24947313765,166.676298965373,855.107871357099,452.212199818319,297.883970922802,2.08757919264287,0.406511438786391,24.5342901172862,7.29990884536863e-07,1.51268732129478e-05,4.25034277054046,4.82025083315988
"WBGene00000789",768.275859296291,567.784068304273,394.089124604083,582.354213071002,2054.28963500911,1061.9062317731,1617.18752374238,728.96606610713,971.856590238421,1.24051294566997,0.309571783904593,15.6019290379442,7.81747950624844e-05,0.000904145713697128,2.36282526859953,3.04376157222933
"WBGene00000830",567.287283102679,362.321350980159,301.478180322123,534.549016475622,1355.3589086152,2085.02615498193,795.908095647761,1615.30197775104,952.153870984564,1.72863331140408,0.29645964788884,32.2268820771543,1.37179591545737e-08,4.27876107882323e-07,3.31413715941384,6.36868196335145
"WBGene00000831",700.486812887795,383.309478018644,467.980835467348,574.531544537213,1685.93425217989,2020.03288117153,824.09846503316,1596.30906535867,1031.58541683178,1.5267763939698,0.274387395694017,29.6786725989411,5.09927672640542e-08,1.39120237590138e-06,2.88141286744028,5.85660968931473
"WBGene00000893",1.18928151593853,1.10463826518341,2.95566843453062,1.73837078528657,75.5600785290706,0,107.123403664516,7.2353951970931,24.6133545489523,4.75373272984156,1.32228439053666,10.5680891139057,0.00115056600709128,0.00859939546337796,26.9783971130861,2.06553207854101
